INIT
"TEST_NAME";"OUTPUT";"INIT_BY";"INIT_DATE";"BOILER_PLATE";"ENV_NAME";"VERSION";
FLD0_V40_1008       ;@INIT.OUTPUT.FLD0_V40_1008.1.blob;law                 ;26.02.1997;QA_BP               ;QA_SHR              ;004005000;
C_DSQL_RI_DROP_TAB  ;@INIT.OUTPUT.C_DSQL_RI_DROP_TAB.2.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_FIELD_ALT ;@INIT.OUTPUT.C_DSQL_RI_FIELD_ALT.3.blob;azhao               ;17.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_FIELD_DROP;@INIT.OUTPUT.C_DSQL_RI_FIELD_DROP.4.blob;azhao               ;17.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_INDEX_ALT ;@INIT.OUTPUT.C_DSQL_RI_INDEX_ALT.5.blob;azhao               ;20.01.1994;QA_BP               ;;004000000;
C_DSQL_RI_INDEX_DROP;@INIT.OUTPUT.C_DSQL_RI_INDEX_DROP.6.blob;azhao               ;20.01.1994;QA_BP               ;;004000000;
DSQL_EXCEPT_01      ;@INIT.OUTPUT.DSQL_EXCEPT_01.7.blob;rstats              ;09.11.1994;QA_BP               ;;004000000;
DSQL_EXCEPT_03      ;@INIT.OUTPUT.DSQL_EXCEPT_03.8.blob;rstats              ;25.10.1994;QA_BP               ;;004000000;
C_DSQL_RI_INIT      ;@INIT.OUTPUT.C_DSQL_RI_INIT.9.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_ALT_ADD   ;@INIT.OUTPUT.C_DSQL_RI_ALT_ADD.10.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_COL_CHECK ;@INIT.OUTPUT.C_DSQL_RI_COL_CHECK.11.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_COL_NNULL ;@INIT.OUTPUT.C_DSQL_RI_COL_NNULL.12.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_COL_PRIM  ;@INIT.OUTPUT.C_DSQL_RI_COL_PRIM.13.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_COL_UNIQ  ;@INIT.OUTPUT.C_DSQL_RI_COL_UNIQ.14.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_TAB_CHECK ;@INIT.OUTPUT.C_DSQL_RI_TAB_CHECK.15.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
C_DSQL_RI_TAB_PRIM  ;@INIT.OUTPUT.C_DSQL_RI_TAB_PRIM.16.blob;azhao               ;03.03.1994;QA_BP               ;;004000000;
FLD0_V40_1007       ;@INIT.OUTPUT.FLD0_V40_1007.17.blob;builder             ;01.12.1993;QA_BP               ;;004000000;
C_DSQL_RI_FIELD_DRP1;@INIT.OUTPUT.C_DSQL_RI_FIELD_DRP1.18.blob;bsriram             ;17.07.1995;QA_BP               ;;004000000;
ISC_ER25            ;@INIT.OUTPUT.ISC_ER25.19.blob;azhao               ;24.06.1994;QA_BP               ;;004000000;
C_SQL_BLOB_33       ;@INIT.OUTPUT.C_SQL_BLOB_33.20.blob;builder             ;20.06.1994;QA_BP               ;;004000000;
