META_SERIES
"META_SERIES_NAME";"SERIES_NAME";"SEQUENCE";
VECTOR_12HOUR       ;CF_ISQL             ;0;
VECTOR_12HOUR       ;C_SQL_PRED          ;1;
VECTOR_12HOUR       ;ISC_ARRBLOB_CK      ;2;
VECTOR_12HOUR       ;DSQL_DOMAINS        ;3;
VECTOR_12HOUR       ;DSQL_EXCEPTIONS     ;4;
VECTOR_12HOUR       ;SQL_EVENTS          ;5;
VECTOR_12HOUR       ;C_SQL_BLOB          ;6;
VECTOR_12HOUR       ;C_SQL_JOIN          ;7;
VECTOR_12HOUR       ;V4_AUTO_COMMIT      ;8;
VECTOR_12HOUR       ;V4_EXCLUSIVE        ;9;
VECTOR_12HOUR       ;IDML_C_CHARSET      ;10;
VECTOR_12HOUR       ;IDML_C_SUBQUERYS    ;11;
VECTOR_12HOUR       ;EVENT_MISC          ;12;
VECTOR_12HOUR       ;EXT_LEV_0           ;13;
VECTOR_12HOUR       ;GF_SHUTDOWN         ;14;
VECTOR_12HOUR       ;QA_PROC_IES_ERR     ;15;
VECTOR_12HOUR       ;REF_INT_INDX        ;16;
VECTOR_12HOUR       ;RICH_FLD_GEN_V40    ;17;
VECTOR_12HOUR       ;RI_TESTS            ;18;
VECTOR_12HOUR       ;V4_AUTO_DDL_DSQL    ;19;
VECTOR_12HOUR       ;V4_TRANS_BLOB       ;20;
VECTOR_12HOUR       ;QA_PROCS_ISQL       ;21;
