SERIES
"SERIES_NAME";"TEST_NAME";"CREATED_BY";"SEQUENCE";
RI_TESTS            ;C_DSQL_RI_FIELD_DRP1;bsriram             ;14;
CF_ISQL             ;CF_ISQL_01          ;;0;
C_SQL_BLOB          ;C_SQL_BLOB_31       ;penny               ;28;
C_SQL_BLOB          ;C_SQL_BLOB_33       ;penny               ;34;
C_SQL_BLOB          ;C_SQL_BLOB_0        ;;0;
C_SQL_JOIN          ;C_SQL_JOIN_0        ;;0;
C_SQL_PRED          ;C_SQL_PRED_0        ;;0;
DSQL_DOMAINS        ;DSQL_DOMAIN_01      ;;0;
DSQL_EXCEPTIONS     ;DSQL_EXCEPT_SETUP   ;;0;
EVENT_MISC          ;EVENT_MISC_0        ;;0;
C_SQL_PRED          ;C_SQL_PRED_1        ;penny               ;1;
C_SQL_PRED          ;C_SQL_PRED_2        ;penny               ;2;
ISC_ARRBLOB_CK      ;ISC_CLEANEMP        ;clare               ;43;
C_SQL_PRED          ;C_SQL_PRED_3        ;penny               ;3;
C_SQL_PRED          ;C_SQL_PRED_4        ;penny               ;4;
C_SQL_PRED          ;C_SQL_PRED_5        ;penny               ;5;
C_SQL_PRED          ;C_SQL_PRED_6        ;penny               ;6;
C_SQL_PRED          ;C_SQL_PRED_9        ;penny               ;9;
C_SQL_PRED          ;C_SQL_PRED_10       ;penny               ;10;
C_SQL_PRED          ;C_SQL_PRED_11       ;penny               ;11;
EXT_LEV_0           ;EXT_REL_0_1_D       ;;0;
C_SQL_PRED          ;C_SQL_PRED_16       ;penny               ;16;
C_SQL_PRED          ;C_SQL_PRED_17       ;penny               ;17;
C_SQL_PRED          ;C_SQL_PRED_18       ;penny               ;18;
C_SQL_PRED          ;C_SQL_PRED_19       ;penny               ;19;
C_SQL_PRED          ;C_SQL_PRED_21       ;penny               ;21;
C_SQL_PRED          ;C_SQL_PRED_22       ;penny               ;22;
C_SQL_PRED          ;C_SQL_PRED_23       ;penny               ;23;
C_SQL_PRED          ;C_SQL_PRED_24       ;penny               ;24;
C_SQL_PRED          ;C_SQL_PRED_25       ;penny               ;25;
C_SQL_PRED          ;C_SQL_PRED_27       ;penny               ;26;
C_SQL_PRED          ;C_SQL_PRED_28       ;penny               ;27;
C_SQL_PRED          ;C_SQL_PRED_29       ;penny               ;28;
C_SQL_PRED          ;C_SQL_PRED_30       ;penny               ;29;
C_SQL_PRED          ;C_SQL_PRED_31       ;penny               ;30;
C_SQL_PRED          ;C_SQL_PRED_34       ;penny               ;33;
C_SQL_PRED          ;C_SQL_PRED_35       ;penny               ;34;
C_SQL_PRED          ;C_SQL_PRED_36       ;penny               ;35;
C_SQL_PRED          ;C_SQL_PRED_37       ;penny               ;36;
C_SQL_PRED          ;C_SQL_PRED_38       ;penny               ;37;
C_SQL_PRED          ;C_SQL_PRED_39       ;penny               ;38;
C_SQL_PRED          ;C_SQL_PRED_40       ;penny               ;39;
C_SQL_PRED          ;C_SQL_PRED_41       ;penny               ;40;
C_SQL_PRED          ;C_SQL_PRED_42       ;penny               ;41;
C_SQL_PRED          ;C_SQL_PRED_43       ;penny               ;42;
C_SQL_PRED          ;C_SQL_PRED_44       ;penny               ;45;
C_SQL_PRED          ;C_SQL_PRED_45       ;penny               ;46;
C_SQL_PRED          ;C_SQL_PRED_46       ;penny               ;47;
C_SQL_PRED          ;C_SQL_PRED_47       ;penny               ;48;
C_SQL_PRED          ;C_SQL_PRED_48       ;penny               ;49;
C_SQL_PRED          ;C_SQL_PRED_49       ;penny               ;50;
C_SQL_PRED          ;C_SQL_PRED_50       ;penny               ;51;
C_SQL_PRED          ;C_SQL_PRED_51       ;penny               ;52;
C_SQL_PRED          ;C_SQL_PRED_52       ;penny               ;53;
C_SQL_PRED          ;C_SQL_PRED_53       ;penny               ;54;
C_SQL_PRED          ;C_SQL_PRED_54       ;penny               ;55;
C_SQL_PRED          ;C_SQL_PRED_55       ;penny               ;56;
C_SQL_PRED          ;C_SQL_PRED_56       ;penny               ;57;
C_SQL_PRED          ;C_SQL_PRED_57       ;penny               ;58;
C_SQL_PRED          ;C_SQL_PRED_58       ;penny               ;59;
C_SQL_PRED          ;C_SQL_PRED_59       ;penny               ;60;
C_SQL_PRED          ;C_SQL_PRED_60       ;penny               ;61;
C_SQL_PRED          ;C_SQL_PRED_61       ;penny               ;62;
C_SQL_PRED          ;C_SQL_PRED_62       ;penny               ;63;
C_SQL_PRED          ;C_SQL_PRED_63       ;penny               ;64;
C_SQL_PRED          ;C_SQL_PRED_64       ;penny               ;65;
C_SQL_PRED          ;C_SQL_PRED_65       ;penny               ;66;
C_SQL_PRED          ;C_SQL_PRED_66       ;penny               ;67;
C_SQL_PRED          ;C_SQL_PRED_67       ;penny               ;68;
C_SQL_PRED          ;C_SQL_PRED_68       ;penny               ;69;
C_SQL_PRED          ;C_SQL_PRED_69       ;penny               ;70;
C_SQL_PRED          ;C_SQL_PRED_70       ;penny               ;71;
C_SQL_PRED          ;C_SQL_PRED_71       ;penny               ;72;
C_SQL_PRED          ;C_SQL_PRED_72       ;penny               ;73;
C_SQL_PRED          ;C_SQL_PRED_73       ;penny               ;74;
C_SQL_JOIN          ;C_SQL_JOIN_1        ;penny               ;1;
C_SQL_JOIN          ;C_SQL_JOIN_2        ;penny               ;2;
C_SQL_JOIN          ;C_SQL_JOIN_3        ;penny               ;3;
C_SQL_JOIN          ;C_SQL_JOIN_4        ;penny               ;4;
C_SQL_JOIN          ;C_SQL_JOIN_5        ;penny               ;5;
